FXRU,20190214,095937,0.748,1
FXRU,20190214,095937,0.748,1
FXRU,20190214,100001,0.748,2
FXRU,20190214,100001,0.748,1
FXRU,20190214,100004,0.748,29
FXRU,20190214,100014,0.748,193
FXRU,20190214,100028,0.748,130
FXRU,20190214,100030,0.749,1
FXRU,20190214,100212,0.748,3
FXRU,20190214,100244,0.748,7
FXRU,20190214,100244,0.747,93
FXRU,20190214,100255,0.749,1
FXRU,20190214,100359,0.748,23
FXRU,20190214,100359,0.749,34
FXRU,20190214,100359,0.749,2
FXRU,20190214,100359,0.749,9
FXRU,20190214,100445,0.749,2
FXRU,20190214,100445,0.749,16
FXRU,20190214,100445,0.749,20
FXRU,20190214,100445,0.749,5
FXRU,20190214,100445,0.749,5
FXRU,20190214,100445,0.750,110
FXRU,20190214,100445,0.750,1
FXRU,20190214,100445,0.750,10
FXRU,20190214,100445,0.750,6
FXRU,20190214,100445,0.750,50
FXRU,20190214,100445,0.750,30
FXRU,20190214,100538,0.750,20
FXRU,20190214,100618,0.749,60
FXRU,20190214,100624,0.748,2
FXRU,20190214,100624,0.748,45
FXRU,20190214,100659,0.748,18
FXRU,20190214,100659,0.748,2
FXRU,20190214,100659,0.748,340
FXRU,20190214,100711,0.749,2
FXRU,20190214,100726,0.747,8
FXRU,20190214,100818,0.748,78
FXRU,20190214,100850,0.749,8
FXRU,20190214,100904,0.749,12
FXRU,20190214,100955,0.749,2
FXRU,20190214,101037,0.749,8
FXRU,20190214,101128,0.749,2
FXRU,20190214,101128,0.749,5
FXRU,20190214,101140,0.748,1
FXRU,20190214,101140,0.748,1
FXRU,20190214,101256,0.748,1
FXRU,20190214,101433,0.748,1
FXRU,20190214,101453,0.749,10
FXRU,20190214,101529,0.748,1
FXRU,20190214,101545,0.749,1
FXRU,20190214,101556,0.747,5
FXRU,20190214,101700,0.749,1
FXRU,20190214,101705,0.747,5
FXRU,20190214,101722,0.747,29
FXRU,20190214,101722,0.747,3
FXRU,20190214,101722,0.747,8
FXRU,20190214,101728,0.749,1
FXRU,20190214,101728,0.749,1
FXRU,20190214,101826,0.747,1
FXRU,20190214,101830,0.747,10
FXRU,20190214,101908,0.747,24
FXRU,20190214,101918,0.747,10
FXRU,20190214,102216,0.747,2
FXRU,20190214,102216,0.747,4
FXRU,20190214,102216,0.746,2
FXRU,20190214,102221,0.747,9
FXRU,20190214,102221,0.747,5
FXRU,20190214,102245,0.746,10
FXRU,20190214,102406,0.746,1
FXRU,20190214,102431,0.746,2
FXRU,20190214,102452,0.746,10
FXRU,20190214,102541,0.746,2
FXRU,20190214,102638,0.747,5
FXRU,20190214,102734,0.747,1
FXRU,20190214,102831,0.747,14
FXRU,20190214,102831,0.747,36
FXRU,20190214,102834,0.747,1
FXRU,20190214,103007,0.747,5
FXRU,20190214,103301,0.747,3
FXRU,20190214,103301,0.748,2
FXRU,20190214,103301,0.749,2
FXRU,20190214,103301,0.749,3
FXRU,20190214,103410,0.746,10
FXRU,20190214,103446,0.747,1
FXRU,20190214,103513,0.747,1
FXRU,20190214,103548,0.747,2
FXRU,20190214,103705,0.747,1
FXRU,20190214,103725,0.748,1
FXRU,20190214,103738,0.748,7
FXRU,20190214,104131,0.748,38
FXRU,20190214,104131,0.748,112
FXRU,20190214,104159,0.748,1
FXRU,20190214,104200,0.748,2
FXRU,20190214,104222,0.748,5
FXRU,20190214,104255,0.748,6
FXRU,20190214,104255,0.748,4
FXRU,20190214,104255,0.748,14
FXRU,20190214,104341,0.748,4
FXRU,20190214,104346,0.748,57
FXRU,20190214,104407,0.748,1
FXRU,20190214,104435,0.748,1
FXRU,20190214,104435,0.748,2
FXRU,20190214,104455,0.748,1
FXRU,20190214,104455,0.748,8
FXRU,20190214,104512,0.748,14
FXRU,20190214,104601,0.748,101
FXRU,20190214,104719,0.748,2
FXRU,20190214,104727,0.748,6
FXRU,20190214,104728,0.748,7
FXRU,20190214,104729,0.748,8
FXRU,20190214,104806,0.749,27
FXRU,20190214,104814,0.749,61
FXRU,20190214,104824,0.749,2
FXRU,20190214,104850,0.749,1
FXRU,20190214,105053,0.748,75
FXRU,20190214,105220,0.748,500
FXRU,20190214,105329,0.749,4
FXRU,20190214,105408,0.748,4
FXRU,20190214,105425,0.748,5
FXRU,20190214,105531,0.748,300
FXRU,20190214,105544,0.749,10
FXRU,20190214,105819,0.747,1
FXRU,20190214,105832,0.749,1
FXRU,20190214,105842,0.748,1
FXRU,20190214,105842,0.747,54
FXRU,20190214,105842,0.747,25
FXRU,20190214,105852,0.747,1
FXRU,20190214,110300,0.748,75
FXRU,20190214,110300,0.748,100
FXRU,20190214,110343,0.749,10
